orga,category,location,motto,,full tweet,length
Shropshire,nation / UK counties,England,Let Salop flourish.,"(Shropshire, England)","Let Salop flourish.
(Shropshire, England)",41
Staffordshire,nation / UK counties,England,The knot unites.,"(Staffordshire, England)","The knot unites.
(Staffordshire, England)",41
Alabama,nation / US state,US,We dare defend our rights!.,"(Alabama, US)","We dare defend our rights!.
(Alabama, US)",41
Kentucky,nation / US state,US,Let us be grateful to God.,"(Kentucky, US)","Let us be grateful to God.
(Kentucky, US)",41
Oklahoma,nation / US state,US,Labor conquers all things.,"(Oklahoma, US)","Labor conquers all things.
(Oklahoma, US)",41
Tennessee,nation / US state,US,Agriculture and Commerce.,"(Tennessee, US)","Agriculture and Commerce.
(Tennessee, US)",41
Order of Leopold ,order,,Union makes strength.,(Order of Leopold ),"Union makes strength.
(Order of Leopold )",41
Order of Orange-Nassau,order,,I will maintain.,(Order of Orange-Nassau),"I will maintain.
(Order of Orange-Nassau)",41
Milwaukee Police Department,public police/service,,Be A Force.,(Milwaukee Police Department),"Be A Force.
(Milwaukee Police Department)",41
Feyenoord Rotterdam,sport,,No words but deeds.,(Feyenoord Rotterdam),"No words but deeds.
(Feyenoord Rotterdam)",41
Olympic Games,sport,,"Faster, higher, stronger.",(Olympic Games),"Faster, higher, stronger.
(Olympic Games)",41
Stoke City,sport,,United Strength is Stronger.,(Stoke City),"United Strength is Stronger.
(Stoke City)",41
University of Zulia ,university,,"Beyond the clouds, the sun.",(University of Zulia ),"Beyond the clouds, the sun.
(University of Zulia )",50
University of Zululand,university,South Africa,By Diligence we shall lead.,"(University of Zululand, South Africa)","By Diligence we shall lead.
(University of Zululand, South Africa)",66
Unseen University,university,,Now you see it. Now you don't.,(Unseen University),"Now you see it. Now you don't.
(Unseen University)",50
Uppsala University,university,Sweden,Truth through mercy and nature.,"(Uppsala University, Sweden)","Truth through mercy and nature.
(Uppsala University, Sweden)",60
Utrecht University,university,The Netherlands,"Sun of Justice, Brighten Us.","(Utrecht University, The Netherlands)","Sun of Justice, Brighten Us.
(Utrecht University, The Netherlands)",66
Uttar Pradesh Technical University,university,India,Excellence in action is yoga.,"(Uttar Pradesh Technical University, India)","Excellence in action is yoga.
(Uttar Pradesh Technical University, India)",73
Valparaiso University,university,US,In Thy Light We See Light.,"(Valparaiso University, US)","In Thy Light We See Light.
(Valparaiso University, US)",54
Veer Bahadur Singh Purvanchal University,university,India,May our knowledge become brilliant.,"(Veer Bahadur Singh Purvanchal University, India)","May our knowledge become brilliant.
(Veer Bahadur Singh Purvanchal University, India)",85
Villanova University,university,US,Truth Unity Love.,"(Villanova University, US)","Truth Unity Love.
(Villanova University, US)",44
Virginia Military Institute,university,US,"In Peace, a Glorious Asset, in War, a Tower of Strength.","(Virginia Military Institute, US)","In Peace, a Glorious Asset, in War, a Tower of Strength.
(Virginia Military Institute, US)",90
Virginia Polytechnic Institute and State University,university,US,That I may serve.,"(Virginia Polytechnic Institute and State University, US)","That I may serve.
(Virginia Polytechnic Institute and State University, US)",75
16th Aviation Group ,military,US,Born in Battle.,"(16th Aviation Group, US)","Born in Battle.
(16th Aviation Group, US)",41
1st Armored Division ,military,US,Old Ironsides.,"(1st Armored Division, US)","Old Ironsides.
(1st Armored Division, US)",41
1st Aviation Regiment ,military,US,Super Primum.,"(1st Aviation Regiment, US)","Super Primum.
(1st Aviation Regiment, US)",41
2d Armored Division ,military,US,Hell on Wheels.,"(2d Armored Division, US)","Hell on Wheels.
(2d Armored Division, US)",41
31st Armored Brigade ,military,US,Dixie Brigade.,"(31st Armored Brigade, US)","Dixie Brigade.
(31st Armored Brigade, US)",41
42d Air Base Wing ,military,US,The Skies for Us.,"(42d Air Base Wing, US)","The Skies for Us.
(42d Air Base Wing, US)",41
44th Missile Wing ,military,US,Aggressor Beware.,"(44th Missile Wing, US)","Aggressor Beware.
(44th Missile Wing, US)",41
71st Airborne Brigade ,military,US,Go Texans Go.,"(71st Airborne Brigade, US)","Go Texans Go.
(71st Airborne Brigade, US)",41
7th Aviation Battalion ,military,US,Lucky Seven.,"(7th Aviation Battalion, US)","Lucky Seven.
(7th Aviation Battalion, US)",41
91st Missile Wing ,military,US,Poised for Peace.,"(91st Missile Wing, US)","Poised for Peace.
(91st Missile Wing, US)",41
Bolton,cities,England,Overcome difficulties.,"(Bolton, England)","Overcome difficulties.
(Bolton, England)",40
Brentwood,cities,England,Burning with faith.,"(Brentwood, England)","Burning with faith.
(Brentwood, England)",40
Crawley,cities,England,I Grow and I Rejoice.,"(Crawley, England)","I Grow and I Rejoice.
(Crawley, England)",40
Forfar,cities,Scotland,Ut quocunque paratus.,"(Forfar, Scotland)","Ut quocunque paratus.
(Forfar, Scotland)",40
Province of Quebec,cities,Canada,I remember.,"(Province of Quebec, Canada)","I remember.
(Province of Quebec, Canada)",40
Sofia,cities,Europe,"Grows, but does not age.","(Sofia, Europe)","Grows, but does not age.
(Sofia, Europe)",40
Torquay,cities,England,Health and happiness.,"(Torquay, England)","Health and happiness.
(Torquay, England)",40
Valletta,cities,Europe,The most humble city.,"(Valletta, Europe)","The most humble city.
(Valletta, Europe)",40
Burger King,company,,Have It Your Way.,(Burger King),"Have It Your Way.
(Burger King)",31
CACI,company,,Always Vigilant.,(CACI),"Always Vigilant.
(CACI)",23
International Expositions,misc,,Always true.,(International Expositions),"Always true.
(International Expositions)",40
Burkina Faso,nation,,"Unity, Progress, Justice.",(Burkina Faso),"Unity, Progress, Justice.
(Burkina Faso)",40
Germany,nation,,Unity and justice and freedom.,(Germany),"Unity and justice and freedom.
(Germany)",40
Kiribati,nation,,"Health, Peace and Prosperity.",(Kiribati),"Health, Peace and Prosperity.
(Kiribati)",40
Mauritania,nation,,"Honor, Fraternity, Justice.",(Mauritania),"Honor, Fraternity, Justice.
(Mauritania)",40
Yemen,nation,,"God,Homeland, Revolution, Unity.",(Yemen),"God,Homeland, Revolution, Unity.
(Yemen)",40
Banff,nation / UK counties,Scotland,With hope and courage.,"(Banff, Scotland)","With hope and courage.
(Banff, Scotland)",40
Bristol,nation / UK counties,England,Virtue and hard work.,"(Bristol, England)","Virtue and hard work.
(Bristol, England)",40
Warwickshire,nation / UK counties,England,United to serve.,"(Warwickshire, England)","United to serve.
(Warwickshire, England)",40
Delaware,nation / US state,US,Liberty and Independence.,"(Delaware, US)","Liberty and Independence.
(Delaware, US)",40
Indiana,nation / US state,US,The Crossroads of America.,"(Indiana, US)","The Crossroads of America.
(Indiana, US)",40
New Jersey,nation / US state,US,Liberty and prosperity.,"(New Jersey, US)","Liberty and prosperity.
(New Jersey, US)",40
Order of the Bath,order,,Three joined in one.,(Order of the Bath),"Three joined in one.
(Order of the Bath)",40
Order of the Crown ,order,,Work and Progress.,(Order of the Crown ),"Work and Progress.
(Order of the Crown )",40
Air Training Corps,public police/service,,"Venture, Adventure.",(Air Training Corps),"Venture, Adventure.
(Air Training Corps)",40
Dominican Order,religion,,"Praise, bless, preach.",(Dominican Order),"Praise, bless, preach.
(Dominican Order)",40
Footscray Football Club,sport,,Yield to none.,(Footscray Football Club),"Yield to none.
(Footscray Football Club)",40
Visva Bharati University,university,India,Where the world makes a home in a single nest.,"(Visva Bharati University, India)","Where the world makes a home in a single nest.
(Visva Bharati University, India)",80
"Visvesvaraya National Institute of Technology Nagpur,",university,India,Excellence in action is yoga.,"(Visvesvaraya National Institute of Technology Nagpur,, India)","Excellence in action is yoga.
(Visvesvaraya National Institute of Technology Nagpur,, India)",92
Visvesvaraya Technological University,university,India,"Above all, be human.","(Visvesvaraya Technological University, India)","Above all, be human.
(Visvesvaraya Technological University, India)",67
Vrije Universiteit,university,The Netherlands,Our help is in the name of the Lord.,"(Vrije Universiteit, The Netherlands)","Our help is in the name of the Lord.
(Vrije Universiteit, The Netherlands)",74
Vrije Universiteit Brussel,university,Belgium,Conquering darkness by science.,"(Vrije Universiteit Brussel, Belgium)","Conquering darkness by science.
(Vrije Universiteit Brussel, Belgium)",69
Wageningen University,university,The Netherlands,For quality of life.,"(Wageningen University, The Netherlands)","For quality of life.
(Wageningen University, The Netherlands)",61
Wake Forest University,university,US,For humanity.,"(Wake Forest University, US)","For humanity.
(Wake Forest University, US)",42
Warren Wilson College,university,US,"We're not for everyone... but then, maybe you're not everyone.","(Warren Wilson College, US)","We're not for everyone... but then, maybe you're not everyone.
(Warren Wilson College, US)",90
Warwick School,university,UK,I seek higher things.,"(Warwick School, UK)","I seek higher things.
(Warwick School, UK)",42
Washington and Lee University,university,US,Not Unmindful of the Future.,"(Washington and Lee University, US)","Not Unmindful of the Future.
(Washington and Lee University, US)",64
Washington School ,university,US,Action produces results.,"(Washington School, US)","Action produces results.
(Washington School, US)",48
Washington University in St. Louis,university,US,Strength through truth.,"(Washington University in St. Louis, US)","Strength through truth.
(Washington University in St. Louis, US)",64
28th Aviation ,military,US,The Eye of an Eagle.,"(28th Aviation, US)","The Eye of an Eagle.
(28th Aviation, US)",40
Ashford,cities,England,With Stronger Faith.,"(Ashford, England)","With Stronger Faith.
(Ashford, England)",39
Blackburn,cities,England,By art and labour.,"(Blackburn, England)","By art and labour.
(Blackburn, England)",39
Bromley,cities,England,To serve the people.,"(Bromley, England)","To serve the people.
(Bromley, England)",39
Fylde,cities,England,Let the field rejoice.,"(Fylde, England)","Let the field rejoice.
(Fylde, England)",39
New Forest,cities,England,Old Yet Ever New.,"(New Forest, England)","Old Yet Ever New.
(New Forest, England)",39
Peterborough,cities,England,Upon this rock.,"(Peterborough, England)","Upon this rock.
(Peterborough, England)",39
Redbridge,cities,England,In Unity Progress.,"(Redbridge, England)","In Unity Progress.
(Redbridge, England)",39
Swale,cities,England,Known by their Fruits.,"(Swale, England)","Known by their Fruits.
(Swale, England)",39
Vilnius,cities,Europe,"Unity, justice, hope.","(Vilnius, Europe)","Unity, justice, hope.
(Vilnius, Europe)",39
Kolkatta,cities,India,Progress of the city.,"(Kolkatta, India)","Progress of the city.
(Kolkatta, India)",39
Andorra,nation,,"Strength, united is stronger.",(Andorra),"Strength, united is stronger.
(Andorra)",39
Brittany,nation,,Rather death than dishonour.,(Brittany),"Rather death than dishonour.
(Brittany)",39
France,nation,,"Liberty, equality, fraternity.",(France),"Liberty, equality, fraternity.
(France)",39
Haiti,nation,,"Freedom, equality, brotherhood.",(Haiti),"Freedom, equality, brotherhood.
(Haiti)",39
Lithuania,nation,,"Freedom, Unity, Prosperity.",(Lithuania),"Freedom, Unity, Prosperity.
(Lithuania)",39
Mali,nation,,"One people, one goal, one faith.",(Mali),"One people, one goal, one faith.
(Mali)",39
Samoa,nation,,God be the Foundation of Samoa.,(Samoa),"God be the Foundation of Samoa.
(Samoa)",39
Scotland,nation,,In My Defens God Me Defend.,(Scotland),"In My Defens God Me Defend.
(Scotland)",38
Sierra Leone,nation,,"Unity, freedom, justice.",(Sierra Leone),"Unity, freedom, justice.
(Sierra Leone)",39
Sikkim,nation,,Conqueror of the three worlds.,(Sikkim),"Conqueror of the three worlds.
(Sikkim)",39
Switzerland,nation,,"One for all, all for one.",(Switzerland),"One for all, all for one.
(Switzerland)",39
Nairn,nation / UK counties,Scotland,Unite and be Mindful.,"(Nairn, Scotland)","Unite and be Mindful.
(Nairn, Scotland)",39
Oxfordshire,nation / UK counties,England,Dare to be wise.,"(Oxfordshire, England)","Dare to be wise.
(Oxfordshire, England)",39
Nebraska,nation / US state,US,Equality before the law.,"(Nebraska, US)","Equality before the law.
(Nebraska, US)",39
Order of Pius IX,order,,By virtue and merit.,(Order of Pius IX),"By virtue and merit.
(Order of Pius IX)",39
